propertyLabel,propertyDescription,count
GeoNames ID,identifier in the GeoNames geographical database,6551
Freebase ID,"identifier for a page in the Freebase database. Format: ""/m/0"" followed by 2 to 7 characters. For those starting with ""/g/"", use Google Knowledge Graph identifier (P2671)",2886
GLIMS ID,identifier assigned to glaciers by the Global Land Ice Measurements from Space service at NSIDC,2421
SCAR Composite Gazetteer place ID,identifier in the international composite gazetteer for Antarctica run by the Scientific Committee on Antarctic Research,2109
GNIS Antarctica ID,"identifier for geographic objects in Antarctica, used in the US Geological Survey's Geographic Names Information System. For U.S. IDs, use Property:P590",1790
GNS Unique Feature ID,identifier for geographic entities according to the National Geospatial-Intelligence Agency's GEOnet Names Server,1559
Google Knowledge Graph ID,"identifier for Google Knowledge Graph API (starting with ""/g/""). IDs starting with ""/m/"" are Freebase IDs (P646)",1380
Norwegian Polar Institute place name ID,"identifier of a location in the Norwegian Polar Institute's ""Place names in Norwegian polar areas"" database",667
GNIS ID,"identifier for geographic objects in the US issued by the USGS. For Antarctica, use Property:P804",514
World Glacier Inventory ID,identifier in the World Glacier Inventory database,467
Australian Antarctic Gazetteer ID,"identifier of a place, in the Australian Antarctic Gazetteer",327
New Zealand Gazetteer place ID,identifier for a place in the New Zealand Gazetteer,236
VIAF ID,identifier for the Virtual International Authority File database [format: up to 22 digits],196
Bulgarian Antarctic Gazetteer ID,identifier of a location in Antarctica in the Bulgarian Antarctic Gazetteer,188
Swedish Glaciers ID,identifier for glaciers in Sweden,159
Getty Thesaurus of Geographic Names ID,identifier in the Getty Thesaurus of Geographic Names,117
SSR place name number,identifier for a place name in the Norwegian Mapping Authority's place name registry Sentralt stedsnavnregister (SSR),102
OpenStreetMap relation ID,identifier for a relation in OpenStreetMap,86
Antarctica NZ Digital Asset Manager,identifier in the composite gazetteer for Antarctica run New Zealand,84
GLAMOS glacier ID,identifier for a Swiss glacier on the GLAMOS website,73
Library of Congress authority ID,"Library of Congress name authority (persons, families, corporate bodies, events, places, works and expressions) and subject authority identifier [Format: 1-2 specific letters followed by 8-10 digits (see regex). For manifestations, use P1144]",69
Gridabase glacier ID,identifier for a glacier on the Glacier Risks Data Base website,68
