lang,count
en,3065
de,2783
sv,2714
nn,2006
zh,1770
it,1761
nb,756
he,527
fr,484
nl,350
es,314
ur,251
pl,199
ca,196
ky,175
ru,174
pt,141
bg,115
uk,108
eo,105
ka,104
fa,91
ja,90
fi,81
cs,67
az,61
tr,54
da,54
lv,54
lt,44
eu,42
hi,42
hu,38
ar,37
is,33
be,23
et,23
sh,23
vi,21
ml,20
mk,19
ko,19
tg,19
uz,19
ro,18
hr,17
id,17
sr,16
kk,16
bn,15
sl,14
el,13
hy,12
ta,10
ms,10
os,9
oc,7
th,6
an,6
bho,6
sk,6
sw,6
ne,6
af,6
rm,5
cy,5
la,5
se,5
gl,5
bs,4
gu,4
lb,4
qu,4
pa,3
mr,3
kn,2
ba,2
sa,2
cv,2
fy,1
te,1
ga,1
mi,1
ce,1
mn,1
my,1
fo,1
tl,1
li,1
br,1
wa,1
jv,1
kl,1
su,1
yi,1
