item,itemLabel,itemDescription,statement_count
http://www.wikidata.org/entity/Q179734,Vatnajökull,largest and most voluminous Icelandic glacier,61
http://www.wikidata.org/entity/Q654352,Jostedal Glacier,largest glacier in continental Europe,56
http://www.wikidata.org/entity/Q204658,Aletsch Glacier,glacier in Switzerland,40
http://www.wikidata.org/entity/Q298119,Öræfajökull,volcano in south-eastern Iceland,31
http://www.wikidata.org/entity/Q39651,Eyjafjallajökull,glacier in Iceland,28
http://www.wikidata.org/entity/Q3137543,Sulitjelmaisen,glacier in Norway and Sweden,27
http://www.wikidata.org/entity/Q1147722,Fox Glacier / Te Moeka o Tuawe,glacier in New Zealand,27
http://www.wikidata.org/entity/Q583591,Mer de Glace,glacier in France,27
http://www.wikidata.org/entity/Q333946,Siachen Glacier,glacier located in the eastern Karakoram range in the Himalayas,26
http://www.wikidata.org/entity/Q673150,Franz Josef Glacier / Kā Roimata o Hine Hukatere,glacier in New Zealand,26
http://www.wikidata.org/entity/Q1920336,Mendenhall Glacier,glacier in the United States,26
http://www.wikidata.org/entity/Q5312305,Dufek Massif,Massif in Antarctica,26
http://www.wikidata.org/entity/Q1315012,Snæfellsjökull,mountain in Iceland,26
http://www.wikidata.org/entity/Q200255,Ross Ice Shelf,ice shelf in Antarctica,25
http://www.wikidata.org/entity/Q4568000,Barentsjøkulen,glacier in Svalbard,24
http://www.wikidata.org/entity/Q16548045,Triglav glacier,glacier in Slovenian Alps,24
http://www.wikidata.org/entity/Q22364503,Agassiz Glacier,valley glacier in the Saint Elias Mountains in southern Alaska (USA) and to a lesser extent on to Canadian territory,24
http://www.wikidata.org/entity/Q617835,Malaspina Glacier,"glacier in Alaska, USA",24
http://www.wikidata.org/entity/Q367943,Perito Moreno Glacier,Glacier located in the Argentina's Andes,23
http://www.wikidata.org/entity/Q1632031,Viedma Glacier,glacier in Patagonia,23
http://www.wikidata.org/entity/Q214818,Mýrdalsjökull,glacier in Iceland,23
http://www.wikidata.org/entity/Q281428,Folgefonna,"glacier in Vestland, Norway",22
