item,itemLabel
http://www.wikidata.org/entity/Q1367574,Q1367574
http://www.wikidata.org/entity/Q2566668,Q2566668
http://www.wikidata.org/entity/Q1555251,Q1555251
http://www.wikidata.org/entity/Q3593695,Q3593695
http://www.wikidata.org/entity/Q1581341,Q1581341
http://www.wikidata.org/entity/Q1606802,Q1606802
http://www.wikidata.org/entity/Q1618704,Q1618704
http://www.wikidata.org/entity/Q3108300,Q3108300
http://www.wikidata.org/entity/Q1123202,Q1123202
http://www.wikidata.org/entity/Q1707823,Q1707823
http://www.wikidata.org/entity/Q3108319,Q3108319
http://www.wikidata.org/entity/Q3108322,Q3108322
http://www.wikidata.org/entity/Q4084705,Q4084705
http://www.wikidata.org/entity/Q4092875,Q4092875
http://www.wikidata.org/entity/Q4257120,Q4257120
http://www.wikidata.org/entity/Q2032442,Q2032442
http://www.wikidata.org/entity/Q4278776,Q4278776
http://www.wikidata.org/entity/Q4286099,Q4286099
http://www.wikidata.org/entity/Q4430011,Q4430011
http://www.wikidata.org/entity/Q4470360,Q4470360
http://www.wikidata.org/entity/Q7488630,Shani Glacier
http://www.wikidata.org/entity/Q7986618,West Svartisen Ice-cap
http://www.wikidata.org/entity/Q6464272,La Paloma Glacier
http://www.wikidata.org/entity/Q7992240,Wheeler Peak Glacier
http://www.wikidata.org/entity/Q7286863,Ralam Glacier
http://www.wikidata.org/entity/Q4741952,Ambulapcha Glacier
http://www.wikidata.org/entity/Q4782328,Apusiaajik Glacier
http://www.wikidata.org/entity/Q7381523,Russell Glacier
http://www.wikidata.org/entity/Q7401835,Saint Mary's Glacier
http://www.wikidata.org/entity/Q7414044,San Francisco Glacier
http://www.wikidata.org/entity/Q6749591,Maniitsoq ice sheet
http://www.wikidata.org/entity/Q7454985,Sermitsiaq Glacier
http://www.wikidata.org/entity/Q11829297,Kong Oscar Glacier
http://www.wikidata.org/entity/Q11831757,Klondike Glacier
http://www.wikidata.org/entity/Q11898761,Q11898761
http://www.wikidata.org/entity/Q11960171,Q11960171
http://www.wikidata.org/entity/Q6816566,Mendel Glacier
http://www.wikidata.org/entity/Q11830562,Kuskulana Glacier
http://www.wikidata.org/entity/Q11830744,Polychrome Glaciers
http://www.wikidata.org/entity/Q11962132,Q11962132
http://www.wikidata.org/entity/Q11965856,Q11965856
http://www.wikidata.org/entity/Q11965859,Q11965859
http://www.wikidata.org/entity/Q11965892,Q11965892
http://www.wikidata.org/entity/Q11966124,Q11966124
http://www.wikidata.org/entity/Q11966507,Q11966507
http://www.wikidata.org/entity/Q11968823,Q11968823
http://www.wikidata.org/entity/Q11969012,Q11969012
http://www.wikidata.org/entity/Q11969205,Q11969205
http://www.wikidata.org/entity/Q11969600,Q11969600
http://www.wikidata.org/entity/Q11969811,Q11969811
http://www.wikidata.org/entity/Q11970248,Q11970248
http://www.wikidata.org/entity/Q11976476,Q11976476
http://www.wikidata.org/entity/Q11977613,Q11977613
http://www.wikidata.org/entity/Q11979979,Q11979979
http://www.wikidata.org/entity/Q11980021,Q11980021
http://www.wikidata.org/entity/Q11982715,Q11982715
http://www.wikidata.org/entity/Q11983955,Q11983955
http://www.wikidata.org/entity/Q11986550,Q11986550
http://www.wikidata.org/entity/Q11986983,Q11986983
http://www.wikidata.org/entity/Q11994847,Q11994847
http://www.wikidata.org/entity/Q11996347,Q11996347
http://www.wikidata.org/entity/Q11998584,Q11998584
http://www.wikidata.org/entity/Q7881562,Umiamako Glacier
http://www.wikidata.org/entity/Q7898266,Upernavik Glacier
http://www.wikidata.org/entity/Q12001231,Q12001231
http://www.wikidata.org/entity/Q12008237,Q12008237
http://www.wikidata.org/entity/Q7069732,Nunatakassaup Sermia
http://www.wikidata.org/entity/Q7069734,Nunatakassaup Sermia
http://www.wikidata.org/entity/Q12010141,Q12010141
http://www.wikidata.org/entity/Q12010345,Q12010345
http://www.wikidata.org/entity/Q12010734,Q12010734
http://www.wikidata.org/entity/Q12718570,Q12718570
http://www.wikidata.org/entity/Q12719006,Q12719006
http://www.wikidata.org/entity/Q12719452,Q12719452
http://www.wikidata.org/entity/Q7968304,Wapta Glacier
http://www.wikidata.org/entity/Q7164426,Penny Royal Glacier
http://www.wikidata.org/entity/Q22227085,Q22227085
http://www.wikidata.org/entity/Q22343129,Q22343129
http://www.wikidata.org/entity/Q13165279,Q13165279
http://www.wikidata.org/entity/Q13165848,Q13165848
http://www.wikidata.org/entity/Q13165942,Q13165942
http://www.wikidata.org/entity/Q13166117,Q13166117
http://www.wikidata.org/entity/Q13166218,Q13166218
http://www.wikidata.org/entity/Q13166384,Q13166384
http://www.wikidata.org/entity/Q13166533,Q13166533
http://www.wikidata.org/entity/Q13166921,Q13166921
http://www.wikidata.org/entity/Q13166937,Q13166937
http://www.wikidata.org/entity/Q13167083,Q13167083
http://www.wikidata.org/entity/Q13167493,Q13167493
http://www.wikidata.org/entity/Q13167576,Q13167576
http://www.wikidata.org/entity/Q13168072,Q13168072
http://www.wikidata.org/entity/Q13168099,Q13168099
http://www.wikidata.org/entity/Q13168102,Q13168102
http://www.wikidata.org/entity/Q13168146,Q13168146
http://www.wikidata.org/entity/Q13168392,Q13168392
http://www.wikidata.org/entity/Q13168491,Q13168491
http://www.wikidata.org/entity/Q13170344,Q13170344
http://www.wikidata.org/entity/Q13171120,Q13171120
http://www.wikidata.org/entity/Q13171572,Q13171572
http://www.wikidata.org/entity/Q13171573,Q13171573
http://www.wikidata.org/entity/Q13171686,Q13171686
http://www.wikidata.org/entity/Q13171781,Q13171781
http://www.wikidata.org/entity/Q14713875,Queest-alb Glacier
http://www.wikidata.org/entity/Q14713916,Table Mountain Glacier
http://www.wikidata.org/entity/Q15111655,Q15111655
http://www.wikidata.org/entity/Q15132540,Q15132540
http://www.wikidata.org/entity/Q15215163,Dry Creek Glacier
http://www.wikidata.org/entity/Q15225004,Hooker Glacier (Wyoming)
http://www.wikidata.org/entity/Q15241463,Lander Glacier
http://www.wikidata.org/entity/Q15242540,Lizard Head Glacier
http://www.wikidata.org/entity/Q16002857,American Legion Glacier
http://www.wikidata.org/entity/Q16558943,Q16558943
http://www.wikidata.org/entity/Q24189612,Douglas Glacier
http://www.wikidata.org/entity/Q24229383,Snowbird Glacier
http://www.wikidata.org/entity/Q24259265,Sphinx Glacier
http://www.wikidata.org/entity/Q17748615,Q17748615
http://www.wikidata.org/entity/Q17769463,Q17769463
http://www.wikidata.org/entity/Q17770762,Q17770762
http://www.wikidata.org/entity/Q17773323,Q17773323
http://www.wikidata.org/entity/Q17776414,Q17776414
http://www.wikidata.org/entity/Q5329553,East Torrey Glacier
http://www.wikidata.org/entity/Q18559329,Barranco Glacier
http://www.wikidata.org/entity/Q19336131,Q19336131
http://www.wikidata.org/entity/Q19375154,Q19375154
http://www.wikidata.org/entity/Q19377121,Q19377121
http://www.wikidata.org/entity/Q19377416,Q19377416
http://www.wikidata.org/entity/Q19377511,Q19377511
http://www.wikidata.org/entity/Q19377535,Q19377535
http://www.wikidata.org/entity/Q19378522,Q19378522
http://www.wikidata.org/entity/Q19382021,Q19382021
http://www.wikidata.org/entity/Q19383345,Q19383345
http://www.wikidata.org/entity/Q19385135,Q19385135
http://www.wikidata.org/entity/Q5421313,Exploradores Glacier
http://www.wikidata.org/entity/Q19389044,Q19389044
http://www.wikidata.org/entity/Q19390623,Q19390623
http://www.wikidata.org/entity/Q19391701,Q19391701
http://www.wikidata.org/entity/Q19392879,Q19392879
http://www.wikidata.org/entity/Q19397673,Q19397673
http://www.wikidata.org/entity/Q19521152,Q19521152
http://www.wikidata.org/entity/Q19589495,Q19589495
http://www.wikidata.org/entity/Q19595938,Arrow Glacier
http://www.wikidata.org/entity/Q19597759,Little Penck Glacier
http://www.wikidata.org/entity/Q19647259,Q19647259
http://www.wikidata.org/entity/Q19666226,Q19666226
http://www.wikidata.org/entity/Q19685275,Q19685275
http://www.wikidata.org/entity/Q19720905,Q19720905
http://www.wikidata.org/entity/Q19720913,Q19720913
http://www.wikidata.org/entity/Q19720922,Q19720922
http://www.wikidata.org/entity/Q19720940,Q19720940
http://www.wikidata.org/entity/Q19720971,Q19720971
http://www.wikidata.org/entity/Q19720980,Q19720980
http://www.wikidata.org/entity/Q19721018,Q19721018
http://www.wikidata.org/entity/Q19721025,Q19721025
http://www.wikidata.org/entity/Q19721040,Q19721040
http://www.wikidata.org/entity/Q19721042,Q19721042
http://www.wikidata.org/entity/Q19721095,Q19721095
http://www.wikidata.org/entity/Q19758014,Q19758014
http://www.wikidata.org/entity/Q19758115,Q19758115
http://www.wikidata.org/entity/Q19787582,Q19787582
http://www.wikidata.org/entity/Q19834899,Q19834899
http://www.wikidata.org/entity/Q19835180,Q19835180
http://www.wikidata.org/entity/Q5499330,Frederikshaab Glacier
http://www.wikidata.org/entity/Q20098514,Q20098514
http://www.wikidata.org/entity/Q20112715,Q20112715
http://www.wikidata.org/entity/Q20190859,Q20190859
http://www.wikidata.org/entity/Q20190860,Q20190860
http://www.wikidata.org/entity/Q20190862,Q20190862
http://www.wikidata.org/entity/Q20190863,Q20190863
http://www.wikidata.org/entity/Q20190865,Q20190865
http://www.wikidata.org/entity/Q20190866,Q20190866
http://www.wikidata.org/entity/Q20190869,Q20190869
http://www.wikidata.org/entity/Q20190878,Q20190878
http://www.wikidata.org/entity/Q20190880,Q20190880
http://www.wikidata.org/entity/Q20190883,Q20190883
http://www.wikidata.org/entity/Q20190884,Q20190884
http://www.wikidata.org/entity/Q20190885,Q20190885
http://www.wikidata.org/entity/Q20553510,Q20553510
