item,itemLabel,linkcount
http://www.wikidata.org/entity/Q39651,Eyjafjallajökull,74
http://www.wikidata.org/entity/Q179734,Vatnajökull,61
http://www.wikidata.org/entity/Q200255,Ross Ice Shelf,53
http://www.wikidata.org/entity/Q204658,Aletsch Glacier,50
http://www.wikidata.org/entity/Q333946,Siachen Glacier,44
http://www.wikidata.org/entity/Q1315012,Snæfellsjökull,43
http://www.wikidata.org/entity/Q367943,Perito Moreno Glacier,41
http://www.wikidata.org/entity/Q214818,Mýrdalsjökull,37
http://www.wikidata.org/entity/Q654352,Jostedal Glacier,36
http://www.wikidata.org/entity/Q298119,Öræfajökull,35
http://www.wikidata.org/entity/Q631789,Fedchenko Glacier,35
http://www.wikidata.org/entity/Q691557,Gangotri Glacier,35
http://www.wikidata.org/entity/Q659044,Rhone Glacier,33
http://www.wikidata.org/entity/Q554383,Hofsjökull,33
http://www.wikidata.org/entity/Q776909,Larsen Ice Shelf,32
http://www.wikidata.org/entity/Q737657,Langjökull,32
http://www.wikidata.org/entity/Q791644,Beardmore Glacier,32
http://www.wikidata.org/entity/Q1542432,Greenland ice sheet,30
http://www.wikidata.org/entity/Q1471716,Khumbu Glacier,30
http://www.wikidata.org/entity/Q688624,Morteratsch Glacier,28
http://www.wikidata.org/entity/Q805806,Baltoro Glacier,28
http://www.wikidata.org/entity/Q571430,Antarctic ice sheet,27
http://www.wikidata.org/entity/Q673150,Franz Josef Glacier / Kā Roimata o Hine Hukatere,27
http://www.wikidata.org/entity/Q684169,Pasterze Glacier,27
http://www.wikidata.org/entity/Q278245,Lambert Glacier,25
http://www.wikidata.org/entity/Q209976,Filchner-Ronne Ice Shelf,25
http://www.wikidata.org/entity/Q1389927,Shackleton Ice Shelf,25
http://www.wikidata.org/entity/Q1031467,Southern Patagonian Ice Field,24
http://www.wikidata.org/entity/Q555948,Drangajökull,24
http://www.wikidata.org/entity/Q583591,Mer de Glace,24
http://www.wikidata.org/entity/Q1432927,Tindfjallajökull,23
http://www.wikidata.org/entity/Q770424,Jakobshavn Glacier,22
http://www.wikidata.org/entity/Q1147722,Fox Glacier,22
http://www.wikidata.org/entity/Q1310658,Eiríksjökull,22
http://www.wikidata.org/entity/Q1474806,Tungnafellsjökull,22
http://www.wikidata.org/entity/Q155135,Axel Heiberg Glacier,21
http://www.wikidata.org/entity/Q281428,Folgefonna,20
http://www.wikidata.org/entity/Q855226,Biafo Glacier,20
http://www.wikidata.org/entity/Q1545368,Svartisen,20
http://www.wikidata.org/entity/Q1140440,Haupapa / Tasman Glacier,19
http://www.wikidata.org/entity/Q30434,Dôme du Goûter,18
http://www.wikidata.org/entity/Q196495,Amundsen Glacier,18
http://www.wikidata.org/entity/Q391165,Athabasca Glacier,18
http://www.wikidata.org/entity/Q610805,Unteraar Glacier,18
http://www.wikidata.org/entity/Q917018,Briksdalsbreen,18
http://www.wikidata.org/entity/Q962630,Upsala Glacier,18
http://www.wikidata.org/entity/Q2281892,Taylor Glacier,18
http://www.wikidata.org/entity/Q1434582,Rongbuk Glacier,18
http://www.wikidata.org/entity/Q7799533,Thwaites Glacier,18
http://www.wikidata.org/entity/Q3651008,Arctic ice pack,18
http://www.wikidata.org/entity/Q665077,Gorner Glacier,18
http://www.wikidata.org/entity/Q285768,Austfonna,17
http://www.wikidata.org/entity/Q335883,Þórisjökull,17
http://www.wikidata.org/entity/Q589143,Fiescher Glacier,17
http://www.wikidata.org/entity/Q2944385,Shackleton Glacier,17
http://www.wikidata.org/entity/Q962042,West Ice Shelf,17
http://www.wikidata.org/entity/Q1389467,Fimbul Ice Shelf,17
http://www.wikidata.org/entity/Q672509,Oberaar Glacier,16
http://www.wikidata.org/entity/Q1026461,Calderone glacier,16
http://www.wikidata.org/entity/Q1031462,Northern Patagonian Ice Field,16
http://www.wikidata.org/entity/Q2604390,Potanin Glacier,16
http://www.wikidata.org/entity/Q1407591,Ferrar Glacier,16
http://www.wikidata.org/entity/Q1585036,Hardangerjøkulen,16
http://www.wikidata.org/entity/Q470201,Amery Ice Shelf,16
http://www.wikidata.org/entity/Q335712,Þrándarjökull,16
http://www.wikidata.org/entity/Q3646551,Pico Bonpland,15
http://www.wikidata.org/entity/Q673357,Matanuska Glacier,15
http://www.wikidata.org/entity/Q3123623,West Antarctic Ice Sheet,15
http://www.wikidata.org/entity/Q764134,Byrd Glacier,15
http://www.wikidata.org/entity/Q916190,Canada Glacier,15
http://www.wikidata.org/entity/Q1514989,Pine Island Glacier,15
http://www.wikidata.org/entity/Q1567905,Hispar Glacier,15
http://www.wikidata.org/entity/Q617835,Malaspina Glacier,15
http://www.wikidata.org/entity/Q674056,Lower Grindelwald Glacier,14
http://www.wikidata.org/entity/Q691681,Upper Grindelwald Glacier,14
http://www.wikidata.org/entity/Q869868,Trift Glacier,14
http://www.wikidata.org/entity/Q1632936,Hubbard Glacier,14
http://www.wikidata.org/entity/Q7313329,Rennick Glacier,14
http://www.wikidata.org/entity/Q994192,Brunt Ice Shelf,14
http://www.wikidata.org/entity/Q1515276,McMurdo Ice Shelf,14
http://www.wikidata.org/entity/Q15260,Glärnisch,13
http://www.wikidata.org/entity/Q200793,Argentière Glacier,13
http://www.wikidata.org/entity/Q260322,Skelton Glacier,13
http://www.wikidata.org/entity/Q308096,Øksfjordjøkelen,13
http://www.wikidata.org/entity/Q572156,Bondhusbreen,13
http://www.wikidata.org/entity/Q674959,Fee Glacier,13
http://www.wikidata.org/entity/Q675092,Lang Glacier,13
http://www.wikidata.org/entity/Q870030,Plaine Morte Glacier,13
http://www.wikidata.org/entity/Q1129568,Cook Glacier,13
http://www.wikidata.org/entity/Q1131216,Mertz Glacier,13
http://www.wikidata.org/entity/Q1232903,Koettlitz Glacier,13
http://www.wikidata.org/entity/Q2604627,Zmutt Glacier,13
http://www.wikidata.org/entity/Q2648183,Nevado del Quindío,13
http://www.wikidata.org/entity/Q3108304,Nimrod Glacier,13
http://www.wikidata.org/entity/Q3108313,Scott Glacier,13
http://www.wikidata.org/entity/Q3108323,Shinnan Glacier,13
http://www.wikidata.org/entity/Q1515008,Stancomb-Wills Glacier,13
http://www.wikidata.org/entity/Q1887480,Olav V Land,13
http://www.wikidata.org/entity/Q1920336,Mendenhall Glacier,13
http://www.wikidata.org/entity/Q5257911,Denman Glacier,13
http://www.wikidata.org/entity/Q825948,Getz Ice Shelf,13
http://www.wikidata.org/entity/Q1389459,Riiser-Larsen Ice Shelf,13
http://www.wikidata.org/entity/Q3302053,Jutulstraumen Glacier,12
http://www.wikidata.org/entity/Q3372454,Schytt Glacier,12
http://www.wikidata.org/entity/Q440698,Lillie Glacier,12
http://www.wikidata.org/entity/Q549647,Bossons Glacier,12
http://www.wikidata.org/entity/Q670540,Trient Glacier,12
http://www.wikidata.org/entity/Q674503,Corbassière Glacier,12
http://www.wikidata.org/entity/Q674545,Otemma Glacier,12
http://www.wikidata.org/entity/Q674665,Allalin Glacier,12
http://www.wikidata.org/entity/Q676628,Kander Glacier,12
http://www.wikidata.org/entity/Q676713,Tsanfleuron Glacier,12
http://www.wikidata.org/entity/Q770819,Saskatchewan Glacier,12
http://www.wikidata.org/entity/Q870017,Giétro Glacier,12
http://www.wikidata.org/entity/Q870347,Roseg Glacier,12
http://www.wikidata.org/entity/Q922162,Minnesota Glacier,12
http://www.wikidata.org/entity/Q1084824,Nimitz Glacier,12
http://www.wikidata.org/entity/Q1124225,Concordia,12
http://www.wikidata.org/entity/Q1132039,Ninnis Glacier,12
http://www.wikidata.org/entity/Q2594853,Zemu Glacier,12
http://www.wikidata.org/entity/Q2669909,Bering Glacier,12
http://www.wikidata.org/entity/Q1496251,Gomukh,12
http://www.wikidata.org/entity/Q1771054,East Antarctic Ice Sheet,12
http://www.wikidata.org/entity/Q6773317,Marsh Glacier,12
http://www.wikidata.org/entity/Q6535291,Leverett Glacier,12
http://www.wikidata.org/entity/Q6654157,Liv Glacier,12
http://www.wikidata.org/entity/Q4828736,Aviator Glacier,12
http://www.wikidata.org/entity/Q3137543,Sulitjelmaisen,11
http://www.wikidata.org/entity/Q3647324,Altimir Glacier,11
http://www.wikidata.org/entity/Q3761661,David Glacier,11
http://www.wikidata.org/entity/Q301289,Aar Glaciers,11
http://www.wikidata.org/entity/Q382712,Ferpècle Glacier,11
http://www.wikidata.org/entity/Q610535,Nabesna Glacier,11
http://www.wikidata.org/entity/Q1765405,Laurentide Ice Sheet,11
http://www.wikidata.org/entity/Q676048,Silvretta Glacier,11
http://www.wikidata.org/entity/Q676064,Gauli Glacier,11
http://www.wikidata.org/entity/Q691650,Oberaletsch Glacier,11
http://www.wikidata.org/entity/Q907049,Breiðamerkurjökull,11
http://www.wikidata.org/entity/Q922945,Fortuna Glacier,11
http://www.wikidata.org/entity/Q1115929,Furtwängler Glacier,11
http://www.wikidata.org/entity/Q1116272,Commonwealth Glacier,11
http://www.wikidata.org/entity/Q2404608,Mackay Glacier,11
http://www.wikidata.org/entity/Q2474320,Kolka Glacier,11
http://www.wikidata.org/entity/Q2494486,Union Glacier,11
http://www.wikidata.org/entity/Q3108266,Academy Glacier,11
http://www.wikidata.org/entity/Q1405353,Sólheimajökull,11
http://www.wikidata.org/entity/Q1632031,Viedma Glacier,11
http://www.wikidata.org/entity/Q2085896,Blåmannsisen,11
http://www.wikidata.org/entity/Q4124356,Storglaciären,11
http://www.wikidata.org/entity/Q4534118,Engil'chek Glacier,11
http://www.wikidata.org/entity/Q7506973,Sibelius Glacier,11
http://www.wikidata.org/entity/Q5242629,Dawson-Lambton Glacier,11
http://www.wikidata.org/entity/Q1815824,Jelbart Ice Shelf,11
http://www.wikidata.org/entity/Q3307729,Drang-Drung Glacier,10
http://www.wikidata.org/entity/Q3358392,Shirase Glacier,10
http://www.wikidata.org/entity/Q3761660,Erebus Glacier,10
http://www.wikidata.org/entity/Q3761668,Priestley Glacier,10
http://www.wikidata.org/entity/Q212613,Miage Glacier,10
http://www.wikidata.org/entity/Q429971,Crowfoot Glacier,10
http://www.wikidata.org/entity/Q546312,Petermann Glacier,10
http://www.wikidata.org/entity/Q674490,Saleina Glacier,10
http://www.wikidata.org/entity/Q676605,Forno Glacier,10
http://www.wikidata.org/entity/Q676703,Tschierva Glacier,10
http://www.wikidata.org/entity/Q676722,Palü Glacier,10
http://www.wikidata.org/entity/Q689730,Stein Glacier,10
http://www.wikidata.org/entity/Q691749,Findel Glacier,10
http://www.wikidata.org/entity/Q691780,Mont Miné Glacier,10
http://www.wikidata.org/entity/Q827877,Hayes Glacier,10
http://www.wikidata.org/entity/Q835637,Boulder Glacier,10
http://www.wikidata.org/entity/Q932333,Quelccaya Ice Cap,10
