item,itemLabel
http://www.wikidata.org/entity/Q4092875,Q4092875
http://www.wikidata.org/entity/Q12718570,Q12718570
http://www.wikidata.org/entity/Q12719006,Q12719006
http://www.wikidata.org/entity/Q12719452,Q12719452
http://www.wikidata.org/entity/Q13165279,Q13165279
http://www.wikidata.org/entity/Q13165506,Q13165506
http://www.wikidata.org/entity/Q13165848,Q13165848
http://www.wikidata.org/entity/Q13165942,Q13165942
http://www.wikidata.org/entity/Q13166117,Q13166117
http://www.wikidata.org/entity/Q13166218,Q13166218
http://www.wikidata.org/entity/Q13166384,Q13166384
http://www.wikidata.org/entity/Q13166533,Q13166533
http://www.wikidata.org/entity/Q13166921,Q13166921
http://www.wikidata.org/entity/Q13166937,Q13166937
http://www.wikidata.org/entity/Q13167083,Q13167083
http://www.wikidata.org/entity/Q13167493,Q13167493
http://www.wikidata.org/entity/Q13167576,Q13167576
http://www.wikidata.org/entity/Q13168072,Q13168072
http://www.wikidata.org/entity/Q13168099,Q13168099
http://www.wikidata.org/entity/Q13168102,Q13168102
http://www.wikidata.org/entity/Q13168146,Q13168146
http://www.wikidata.org/entity/Q13168392,Q13168392
http://www.wikidata.org/entity/Q13168491,Q13168491
http://www.wikidata.org/entity/Q13170344,Q13170344
http://www.wikidata.org/entity/Q13171120,Q13171120
http://www.wikidata.org/entity/Q13171572,Q13171572
http://www.wikidata.org/entity/Q13171573,Q13171573
http://www.wikidata.org/entity/Q13171686,Q13171686
http://www.wikidata.org/entity/Q13171781,Q13171781
http://www.wikidata.org/entity/Q16274492,Q16274492
http://www.wikidata.org/entity/Q16548045,Triglav glacier
http://www.wikidata.org/entity/Q16749690,Bohinj Glacier
http://www.wikidata.org/entity/Q19521152,Q19521152
http://www.wikidata.org/entity/Q20098514,Q20098514
http://www.wikidata.org/entity/Q20552414,Q20552414
http://www.wikidata.org/entity/Q20615610,Q20615610
http://www.wikidata.org/entity/Q20616565,Q20616565
http://www.wikidata.org/entity/Q20619133,Q20619133
http://www.wikidata.org/entity/Q20620486,Q20620486
http://www.wikidata.org/entity/Q20621193,Q20621193
